"param","est","est_med","ci_high","ci_low","param_type","snum"
"Intra-household
asymptomatic",0.0287616617239116,0.0313023093043,0.0669056021669756,0.00747684385000222,"Infection probability",10
"OR - asmpt/symp",0.676019277616554,0.702791592614267,2.37525687622189,0.149125608558195,"OR - asmpt/symp",10
"Extra-household",0.0106519598223292,0.0107106069711562,0.0137742030026308,0.00797004463808645,"Infection probability",10
"Recovery period",1.98973900360063,1.98726817715918,2.09543481283669,1.88958331475541,"Recovery period",10
"Incubation period",1.52037972450525,1.48976078457671,2.06032928585451,1.18900765690265,"Incubation period",10
"Probability of symptoms",0.440963739907924,0.438563279142317,0.56155372118676,0.334647142528434,"Probability of symptoms",10
"Pr_S",0.42821869588309,0.429653208837482,0.38778158428445,0.459528785704224,"Initial probability",10
"Pr_Ia",0.094954323445859,0.0999206475261902,0.026875819272743,0.145810526382051,"Initial probability",10
"Pr_Is",0.0521687811834267,0.055255231382738,0.00337089605056023,0.0873212051102828,"Initial probability",10
"Pr_R",0.387171832496388,0.384766563264151,0.336870493636783,0.450615935538055,"Initial probability",10
"Pr_E",0.0374863669912366,0.0302216170217087,9.85522547958764e-05,0.112781024174128,"Pr_E",10
